abbreviation,name,year,value
llv,Low Loire Valley,1378,NA
lux,Luxembourg,1378,NA
mar,Maritime alps,1378,NA
nit,Northern Italy,1378,NA
nlo,Northern  Lorraine,1378,NA
nrv,Northern Rhone valley,1378,NA
sav,Savoie,1378,NA
spa,Spain,1378,NA
slo,Southern Lorraine,1378,NA
srv,Southern Rhone valley,1378,NA
swi,Switzerland (Leman Lake),1378,NA
vse,Various South-East,1378,NA
vpc,Vendée - Poitou Charente,1378,NA
als,Alsace,1379,NA
auv,Auvergne,1379,NA
aux,Auxerre-Avalon,1379,NA
bea,Beaujolais and Maconnais,1379,NA
bor,Bordeaux,1379,NA
bur,Burgundy,1379,22.272727272727273
cha1,Champagne 1,1379,NA
cha2,Champagne 2,1379,NA
gai,Gaillac- South-West,1379,NA
ger,Germany,1379,NA
hlv,High Loire Valley,1379,NA
idf,Ile de France,1379,NA
jur,Jura,1379,NA
lan,Languedoc,1379,NA
llv,Low Loire Valley,1379,NA
lux,Luxembourg,1379,NA
mar,Maritime alps,1379,NA
nit,Northern Italy,1379,NA
nlo,Northern  Lorraine,1379,NA
nrv,Northern Rhone valley,1379,NA
sav,Savoie,1379,NA
spa,Spain,1379,NA
slo,Southern Lorraine,1379,NA
srv,Southern Rhone valley,1379,NA
swi,Switzerland (Leman Lake),1379,NA
vse,Various South-East,1379,NA
vpc,Vendée - Poitou Charente,1379,NA
als,Alsace,1380,NA
auv,Auvergne,1380,NA
aux,Auxerre-Avalon,1380,NA
bea,Beaujolais and Maconnais,1380,NA
bor,Bordeaux,1380,NA
bur,Burgundy,1380,19.76888888888889
cha1,Champagne 1,1380,NA
cha2,Champagne 2,1380,NA
gai,Gaillac- South-West,1380,NA
ger,Germany,1380,NA
hlv,High Loire Valley,1380,NA
idf,Ile de France,1380,NA
jur,Jura,1380,NA
lan,Languedoc,1380,NA
llv,Low Loire Valley,1380,NA
lux,Luxembourg,1380,NA
mar,Maritime alps,1380,NA
nit,Northern Italy,1380,NA
nlo,Northern  Lorraine,1380,NA
nrv,Northern Rhone valley,1380,NA
sav,Savoie,1380,NA
spa,Spain,1380,NA
